0.00,-68.00,-55.00,1
-63.00,-73.00,-59.00,1
-66.00,-54.00,-53.00,1
-60.00,-58.00,-53.00,1
-62.00,-54.00,-59.00,1
-63.00,-54.00,-66.00,1
-65.00,-58.00,-73.00,1
-66.00,-56.00,-58.00,1
-67.00,-57.00,-56.00,1
-69.00,-63.00,-64.00,1
-64.00,-59.00,-63.00,1
-64.00,-75.00,-53.00,1
-64.00,-64.00,-49.00,1
-62.00,-50.00,-62.00,1
-56.00,-51.00,-50.00,1
-57.00,-52.00,-51.00,1
-56.00,-53.00,-49.00,1
-56.00,-53.00,-50.00,1
-56.00,-52.00,-50.00,1
-56.00,-51.00,-51.00,1
-56.00,-53.00,-52.00,1
-56.00,-55.00,-48.00,1
-56.00,-52.00,-50.00,1
-57.00,-54.00,-50.00,1
-63.00,-63.00,-50.00,1
-57.00,-54.00,-51.00,1
-60.00,-52.00,-47.00,1
-62.00,-54.00,-55.00,1
-62.00,-54.00,-54.00,1
-63.00,-61.00,-58.00,1
-66.00,-57.00,-50.00,1
-67.00,-60.00,-55.00,1
-73.00,-64.00,-46.00,1
-55.00,-67.00,-46.00,1
-68.00,-51.00,-52.00,1
-69.00,-49.00,-58.00,1
-65.00,-48.00,-54.00,1
-76.00,-49.00,-54.00,1
-79.00,-48.00,-55.00,1
-67.00,-57.00,-55.00,1
-59.00,-56.00,-55.00,1
-57.00,-57.00,-55.00,1
-68.00,-62.00,-52.00,1
-65.00,-47.00,-54.00,1
-65.00,-50.00,-59.00,1
-64.00,-50.00,-56.00,1
-66.00,-47.00,-54.00,1
-63.00,-48.00,-55.00,1
-65.00,-54.00,-53.00,1
-62.00,-84.00,-54.00,1
-63.00,-51.00,-53.00,1
-61.00,-49.00,-54.00,1
-62.00,-54.00,-49.00,1
-62.00,-56.00,-53.00,1
-60.00,-56.00,-48.00,1
-61.00,-52.00,-50.00,1
-63.00,-47.00,-49.00,1
-63.00,-46.00,-50.00,1
-64.00,-51.00,-51.00,1
-55.00,-65.00,-49.00,1
-58.00,-65.00,-58.00,1
-59.00,-58.00,-54.00,1
-59.00,-59.00,-62.00,1
-64.00,-62.00,-53.00,1
-58.00,-61.00,-54.00,1
-57.00,-63.00,-57.00,1
-59.00,-60.00,-52.00,1
-59.00,-64.00,-51.00,1
-57.00,-64.00,-51.00,1
-57.00,-61.00,-50.00,1
-58.00,-63.00,-51.00,1
-60.00,-63.00,-51.00,1
-58.00,-66.00,-53.00,1
-55.00,-54.00,-53.00,1
-64.00,-52.00,-63.00,1
-64.00,-48.00,-63.00,1
-66.00,-47.00,-63.00,1
-68.00,-46.00,-62.00,1
-65.00,-47.00,-51.00,1
-69.00,-47.00,-59.00,1
-68.00,-45.00,-54.00,1
-65.00,-45.00,-56.00,1
-75.00,-51.00,-55.00,1
-76.00,-43.00,-52.00,1
-73.00,-47.00,-55.00,1
-69.00,-47.00,-54.00,1
-70.00,-50.00,-61.00,1
-72.00,-78.00,-57.00,1
-68.00,-47.00,-57.00,1
-67.00,-52.00,-54.00,1
-55.00,-60.00,-66.00,1
-57.00,-61.00,-51.00,1
-58.00,-61.00,-53.00,1
-63.00,-57.00,-52.00,1
-55.00,-65.00,-53.00,1
-62.00,-58.00,-73.00,1
-59.00,-54.00,-56.00,1
-54.00,-62.00,-49.00,1
-61.00,-61.00,-51.00,1
-66.00,-67.00,-52.00,1
Nan,Nan,Nan
-57.00,-71.00,-54.00,2
-57.00,-65.00,-52.00,2
-58.00,-77.00,-50.00,2
-64.00,-71.00,-46.00,2
-69.00,-71.00,-58.00,2
-68.00,-75.00,-50.00,2
-59.00,-76.00,-48.00,2
-60.00,-73.00,-50.00,2
-59.00,-72.00,-49.00,2
-60.00,-69.00,-52.00,2
-61.00,-63.00,-42.00,2
-65.00,-72.00,-44.00,2
-61.00,-70.00,-49.00,2
-62.00,-74.00,-46.00,2
-61.00,-79.00,-46.00,2
-65.00,-73.00,-47.00,2
-58.00,-73.00,-48.00,2
-58.00,-73.00,-50.00,2
-55.00,-73.00,-50.00,2
-52.00,-63.00,-58.00,2
-57.00,-65.00,-48.00,2
-55.00,-70.00,-53.00,2
