-65.00,-69.00,-57.00
-66.00,-67.00,-56.00
-66.00,-66.00,-55.00
-69.00,-70.00,-53.00
-73.00,-71.00,-53.00
-69.00,-67.00,-54.00
-65.00,-77.00,-54.00
-66.00,-60.00,-55.00
-71.00,-79.00,-54.00
-66.00,-65.00,-62.00
-65.00,-70.00,-54.00
-67.00,-64.00,-54.00
-63.00,-61.00,-53.00
-63.00,-70.00,-52.00
-64.00,-68.00,-64.00
-67.00,-70.00,-54.00
-72.00,-58.00,-59.00
-64.00,-49.00,-55.00
-65.00,-69.00,-53.00
-64.00,-59.00,-50.00
-62.00,-58.00,-50.00
-65.00,-58.00,-54.00
-67.00,-63.00,-50.00
-75.00,-78.00,-55.00
-65.00,-64.00,-50.00
-65.00,-64.00,-53.00
-75.00,-73.00,-51.00
-72.00,-67.00,-54.00
-61.00,-75.00,-55.00
-61.00,-74.00,-51.00
Nan,Nan,Nan
-61.00,-46.00,-54.00
-71.00,-76.00,-50.00
-68.00,-76.00,-53.00
-67.00,-66.00,-51.00
-55.00,-75.00,-56.00
-62.00,-75.00,-56.00
-58.00,-62.00,-54.00
-63.00,-50.00,-49.00
-59.00,-48.00,-55.00
-61.00,-59.00,-52.00
-64.00,-72.00,-44.00
-62.00,-68.00,-44.00
-64.00,-69.00,-46.00
-55.00,-82.00,-50.00
-63.00,-72.00,-49.00
-62.00,-81.00,-52.00
-59.00,-75.00,-41.00
-65.00,-75.00,-39.00
-51.00,-69.00,-53.00
-64.00,-67.00,-59.00
-64.00,-76.00,-52.00
-70.00,-75.00,-50.00
-58.00,-63.00,-49.00
-57.00,-58.00,-61.00
-64.00,-67.00,-52.00
-63.00,-74.00,-41.00
-60.00,-78.00,-43.00
-60.00,-69.00,-42.00
-63.00,-67.00,-41.00
-58.00,-71.00,-41.00
Nan,Nan,Nan
-51.00,-66.00,-63.00
-54.00,-65.00,-70.00
-49.00,-62.00,-53.00
-44.00,-66.00,-54.00
-45.00,-70.00,-54.00
-46.00,-68.00,-56.00
-59.00,-74.00,-64.00
-56.00,-58.00,-64.00
-51.00,-75.00,-60.00
-51.00,-65.00,-71.00
-63.00,-63.00,-68.00
-57.00,-53.00,-60.00
-62.00,-58.00,-53.00
-53.00,-65.00,-65.00
-51.00,-63.00,-53.00
-44.00,-63.00,-54.00
-44.00,-65.00,-61.00
-56.00,-79.00,-55.00
-59.00,-57.00,-49.00
-55.00,-59.00,-51.00
-49.00,-63.00,-58.00
-47.00,-61.00,-52.00
-57.00,-76.00,-54.00
-45.00,-70.00,-54.00
-45.00,-65.00,-54.00
-52.00,-66.00,-52.00
-45.00,-73.00,-59.00
-49.00,-75.00,-52.00
-47.00,-65.00,-54.00
-43.00,-68.00,-53.00
Nan,Nan,Nan
-44.00,-74.00,-69.00
-45.00,-75.00,-66.00
-44.00,-73.00,-69.00
-43.00,-74.00,-69.00
-43.00,-66.00,-75.00
-45.00,-74.00,-64.00
-44.00,-73.00,-58.00
-51.00,-73.00,-73.00
-54.00,-58.00,-79.00
-54.00,-55.00,-64.00
-62.00,-54.00,-66.00
-52.00,-49.00,-63.00
-58.00,-53.00,-58.00
-56.00,-63.00,-53.00
-56.00,-63.00,-52.00
-55.00,-71.00,-55.00
-50.00,-66.00,-53.00
-56.00,-69.00,-73.00
-47.00,-64.00,-73.00
-45.00,-69.00,-82.00
-43.00,-70.00,-65.00
-42.00,-66.00,-73.00
-42.00,-68.00,-66.00
-45.00,-67.00,-68.00
-43.00,-77.00,-66.00
-43.00,-67.00,-68.00
-63.00,-66.00,-71.00
-54.00,-66.00,-51.00
-65.00,-68.00,-50.00
-65.00,-62.00,-52.00
Nan,Nan,Nan
-66.00,-75.00,-49.00
-63.00,-64.00,-51.00
-54.00,-57.00,-46.00
-56.00,-58.00,-48.00
-55.00,-60.00,-56.00
-57.00,-55.00,-56.00
-56.00,-65.00,-60.00
-53.00,-65.00,-53.00
-60.00,-58.00,-56.00
-62.00,-54.00,-66.00
-68.00,-53.00,-56.00
-65.00,-53.00,-54.00
-62.00,-52.00,-55.00
-66.00,-67.00,-52.00
-84.00,-66.00,-45.00
-64.00,-69.00,-48.00
-69.00,-68.00,-48.00
-63.00,-67.00,-47.00
-73.00,-74.00,-48.00
-67.00,-71.00,-57.00
-64.00,-66.00,-43.00
-56.00,-66.00,-67.00
-54.00,-66.00,-56.00
-56.00,-61.00,-65.00
-71.00,-62.00,-50.00
-60.00,-62.00,-52.00
-65.00,-55.00,-54.00
-68.00,-65.00,-68.00
-71.00,-71.00,-52.00
-67.00,-70.00,-56.00
Nan,Nan,Nan
-60.00,-63.00,-54.00
-59.00,-64.00,-51.00
-62.00,-64.00,-50.00
-63.00,-63.00,-52.00
-64.00,-67.00,-47.00
-80.00,-65.00,-62.00
-62.00,-70.00,-53.00
-69.00,-75.00,-48.00
-62.00,-77.00,-46.00
-62.00,-73.00,-49.00
-65.00,-82.00,-48.00
-67.00,-78.00,-49.00
-65.00,-70.00,-48.00
-65.00,-65.00,-51.00
-64.00,-62.00,-48.00
-64.00,-72.00,-51.00
-73.00,-71.00,-40.00
-69.00,-67.00,-53.00
-79.00,-72.00,-42.00
-78.00,-71.00,-44.00
-81.00,-68.00,-33.00
-65.00,-77.00,-49.00
-66.00,-67.00,-49.00
